gene_symbol
RP11-433M22.2
APOA4
MMP12
CYP1A1
KIF25
RP11-507K12.1
DUOXA2
ALDOB
RP11-206M11.7
PLA2G4C
SLC26A3
AC116366.7
TBC1D3D
CRYBA4
CYP17A1
CEACAM8
GBP5
SLC14A1
TKTL1
RP11-518D7.1
RP11-209E8.1
FRMD1
KLKB1
ART5
RP11-522D2.1
IL10RA
CEACAM3
CGA
C6orf222
TMPRSS4
COL21A1
RP11-175P19.3
VCX3A
ACTBL2
DUOX2
ABCA9
RP11-115J16.2
JAG2
ANKRD22
GLRA2
C2orf91
CTD-2566J3.1
LYG2
GSTA2
CDRT4
DCT
PLA1A
CELA3B
RP6-91H8.3
AMBP
HLA-DQB1
RP11-181D18.2
DLL3
KRT12
OR2I1P
VCX2
VCX3B
APOC3
RP11-525K10.3
DHRS2
TRIM31
STRC
SOX8
NLRP1
UGT2A3
LGALS9B
SSX1
NLRP6
UBD
SLC25A34
CPHL1
HLA-DPA1
CACNA1F
MMP13
SLC25A27
RP11-309H8.3
ADGRF5
RNF112
RP5-966M1.6
RP11-631B21.1
RP11-394B2.4
GIF
RP11-362K2.2
RP11-511B23.2
FAM9B
SLC2A12
RP11-325I22.2
C12orf79
TEX13C
MYH7B
C11orf96
MCOLN3
FBP1
CH507-42P11.6
PCK1
HLA-F
FABP1
HP
MBOAT4
TMEM225B
RP11-467L13.7
GLS2
DOCK2
CTD-2541M15.3
XPNPEP2
FILIP1
AP000347.4
SUCNR1
AC004623.3
ATP10B
RP4-607I7.1
AC104654.1
CEMIP
SRPX2
YPEL1
ABCA3
RP11-73M7.10
MEP1A
RP11-510N19.5
HLA-B
ABCA6
RP11-492E3.2
PM20D1
ANKRD20A19P
TNNT2
AC005481.5
ZNF382
RP11-134L10.1
RP5-1042K10.14
C12orf36
UGT1A1
CD40
TLR10
MMP24
AKR1C3
RP11-20D14.6
SLC22A3
CKMT1A
PER3
CKMT1B
VCX
RP11-796E2.4
ALPI
PAGE5
CNTFR
RP11-43N5.1
SCARA5
SLC15A1
RP11-392A22.2
GCKR
COL9A1
GHRHR
PLA2G12B
TNNI3
FGF1
SLC51B
PDE2A
MYO1A
AC002480.5
CYP19A1
WNT11
RP11-199F6.8
RAB19
FOSB
C8orf4
APOA2
RP11-449D8.1
NPIPB7
CBLN2
XXbac-BPG116M5.17
CPA3
RP11-391L3.1
MAGEA4
RP11-606E8.2
GDA
ASB2
HBA1
FBXO32
CKM
LRRC74B
POM121L4P
GPR37L1
CD72
RGPD6
CD163L1
AKR1D1
CCL15-CCL14
TIMP3
HPCAL4
MACROD2
CTD-2501M5.1
GNG7
DRAIC
ACSL5
AK7
FMN1
FBXL16
LIPC
DENND2D
CAPN13
MIR205HG
AP000525.9
LRRC66
RP11-434I12.3
CES1
CEACAM1
RUNDC3A
XIRP1
RP11-365P13.3
ABO
ITGBL1
CASP5
RP11-774D14.1
ABCG2
SERPINB10
C1QTNF9B
AC008132.13
NFASC
SLC3A1
ARRDC4
UNC13A
RP4-798P15.3
CTD-2541M15.1
SLCO2B1
ADCY5
VDR
SKAP1
MYH1
MUC5AC
KCNK9
BMP3
CEACAM22P
DNAH2
STXBP1
MAPT
RP11-151D14.1
CRTAM
MGAM
RP11-96D1.11
ATP2C2
PRL
HLA-DPB1
CEL
COL17A1
ZNF610
RP11-26J3.1
RP11-293M10.5
AK8
MYO3B
OTC
GMFG
CFAP70
SERPINF2
IL1B
RP11-679B19.1
DCHS1
CDKN2B-AS1
BHLHE41
TRAC
LINC00346
EGR3
RP11-91K9.1
YPEL4
PLA2G7
ALPK2
C6orf141
P2RX6
AL133493.2
RCAN2
IL15RA
SLC22A17
RP11-469A15.2
CIDEC
RP11-403A21.1
SRRM3
ITGB3
DPY19L2P2
RP11-818F20.5
CMKLR1
SLC2A5
EGR1
ADH1A
WFIKKN1
SCG5
TRPV6
TPPP3
AFP
APOH
SLC16A12
MGAM2
NPTXR
AC005037.5
GS1-600G8.5
PPARA
ATP8A2
RP11-260A9.6
HSD17B2
BATF2
MASP1
RP11-63M22.2
NLRP2
RP11-1016B18.1
RP11-114G1.1
ANPEP
RFPL3S
C4BPB
APOA1
P2RX4
TOGARAM2
LRRC7
FGF8
RGS1
TMOD2
SPEG
ZNF626
AC006262.5
EGR2
IL34
TAPBPL
SMOC1
KIT
CPED1
RGS6
BAAT
COL2A1
SLC17A8
CCDC30
OGDHL
FAM108A5
REG1A
ADGRG7
AC018865.8
AC005550.3
ADH1B
SULT2A1
FGL1
RP11-417N10.4
TMEM45B
GNAL
SLC5A5
PTPRS
STAB2
SPON2
AREG
SLC5A3
RELB
TXLNB
SCN3B
ALB
STC1
RP11-513I15.6
CCL15
